omega,Gp,Gpp
0.1,5086.400930936871,9388.576681620367
0.12663801734674032,7448.63740170565,10916.393069290922
0.160371874375133,9945.39021594532,12161.190550911553
0.20309176209047358,11864.793471849636,11912.772905281903
0.2571913809059345,16284.405050845335,12061.437662718614
0.3257020655659783,18559.759841724623,11209.007468588015
0.41246263829013524,19697.595325198265,9842.056347870199
0.5223345074266842,22437.06229754505,8149.326890317095
0.6614740641230149,23323.72740901003,7147.6855946314145
0.8376776400682918,23999.932081265106,5919.59641389697
1.0608183551394483,24176.727086077113,4650.431793160075
1.3433993325989002,25127.37506402805,3523.131028837298
1.7012542798525891,23752.51742257542,3047.2691547787363
2.1544346900318834,24586.70548801465,2293.592124057752
2.728333376486768,24270.42658392985,1971.1087462122907
3.455107294592218,25668.44357557894,1443.1142067998044
4.3754793750741845,25006.5623528683,1301.4683960020018
5.541020330009492,24616.72259190878,1031.522073969775
7.017038286703826,24025.387054507424,822.3633386130685
8.886238162743403,24702.285330645376,757.051176575819
11.253355826007645,25060.159598805247,703.1276759328622
14.251026703029977,24739.558642846234,676.2091753121254
18.047217668271703,26761.57771441687,627.802216915402
22.854638641349908,26474.22373688727,635.2382790507534
28.942661247167518,21870.36020127843,699.9529013418745
36.65241237079626,23017.883895058323,692.0630860515951
46.41588833612777,25331.67431463489,714.3778831209596
58.780160722749116,25153.51231390138,703.0154110530177
74.43803013251689,26102.617575869666,571.2793791276554
94.26684551178855,26218.239061299668,556.7745218843847
119.37766417144357,28776.233110775516,498.22634231774106
151.17750706156616,24631.468735331095,385.0107244065318
191.44819761699577,25630.133714768137,306.5528192012616
242.44620170823282,28822.056326711736,267.7086629437235
307.029062975785,27015.16515406747,209.27640240264063
388.81551803080856,27048.437588089113,172.04001202551686
492.38826317067367,25514.714814020554,128.5088285937026
623.5507341273913,24033.98446249626,95.94915886525145
789.6522868499725,26414.54512979621,81.56018349656078
1000.0,26339.798619557485,63.40476774472549
